temperature;soilMoisture;precipitation;ndvi;evatrasporation;Level
NULL;3.044;0;NULL;NULL;528.432
NULL;4.414;0;NULL;NULL;526.784
NULL;5.107;0;NULL;NULL;578.54
NULL;4.102;15.847;NULL;NULL;548.585
NULL;4.299;0;NULL;NULL;529.486
NULL;3.651;0;NULL;NULL;515.935
NULL;3.29;0;NULL;NULL;509.806
NULL;4.021;6.379;NULL;NULL;557.087
NULL;5.092;6.587;NULL;NULL;545.219
NULL;4.259;0;NULL;NULL;537.361
NULL;3.719;0;NULL;NULL;539.564
NULL;3.617;0;NULL;NULL;538.556
NULL;3.985;0;NULL;NULL;562.286
NULL;3.008;0;NULL;NULL;527.879
NULL;4.553;15.838;NULL;NULL;526.456
NULL;5.059;0;NULL;NULL;579.79
NULL;4.038;0;NULL;NULL;547.999
NULL;4.178;0;NULL;NULL;529.816
NULL;3.667;0;NULL;NULL;515.277
NULL;2.908;0;NULL;NULL;508.947
NULL;4.249;0;NULL;NULL;582.65
NULL;5.287;8.013;NULL;NULL;546.524
NULL;4.884;0;NULL;NULL;527.881
NULL;4.319;0;NULL;NULL;545.9
NULL;4.703;0;NULL;NULL;553.233
NULL;4.634;0;NULL;NULL;583.799
NULL;4.173;0;NULL;NULL;536.491
NULL;3.668;0;NULL;NULL;541.041
NULL;4.208;0;NULL;NULL;570.273
NULL;4.952;0;NULL;NULL;542.218
NULL;4.162;0;NULL;NULL;529.138
NULL;3.787;0;NULL;NULL;531.941
NULL;4.343;0;NULL;NULL;521.468
NULL;3.975;0;NULL;NULL;556.027
NULL;4.658;0;NULL;NULL;545.485
15.134;4.156;0;NULL;147;537.124
NULL;3.643;0;NULL;NULL;538.773
NULL;3.504;0;NULL;NULL;537.675
NULL;3.943;0;NULL;NULL;561.091
15.574;3.041;5.214;NULL;120;527.329
NULL;4.24;0;NULL;NULL;526.266
NULL;4.774;0;NULL;NULL;580.798
NULL;3.991;0;NULL;NULL;547.335
15.505;4.139;0;NULL;162;529.86
NULL;5.075;0;NULL;NULL;514.626
NULL;2.508;0;NULL;NULL;508.087
NULL;4.257;0;NULL;NULL;581.675
NULL;5.952;8.221;NULL;NULL;546.843
NULL;5.243;0;NULL;NULL;528.018
NULL;4.514;0;NULL;NULL;545.49
NULL;4.515;0;NULL;NULL;554.178
NULL;4.466;0;NULL;NULL;583.189
NULL;4.178;0;NULL;NULL;536.344
NULL;3.562;0;NULL;NULL;540.361
NULL;4.199;0;NULL;NULL;569.624
NULL;6.004;0;NULL;NULL;543.966
NULL;4.122;0;NULL;NULL;529.184
NULL;3.714;0;NULL;NULL;531.034
NULL;5.667;19.603;NULL;NULL;521.576
NULL;4.214;0;NULL;NULL;580.691
NULL;5.025;0;NULL;NULL;548.754
NULL;4.787;0;NULL;NULL;529.033
NULL;6.138;0;NULL;NULL;545.415
NULL;4.381;0;NULL;NULL;554.685
NULL;4.683;0;NULL;NULL;582.526
NULL;5.066;5.061;NULL;NULL;536.262
NULL;3.455;0;NULL;NULL;539.678
NULL;4.116;0;NULL;NULL;568.952
NULL;5.562;0;NULL;NULL;546.622
NULL;4.105;0;NULL;NULL;529.067
NULL;3.598;0;NULL;NULL;530.134
NULL;4.787;0;NULL;NULL;522.864
NULL;4.196;0;NULL;NULL;579.699
NULL;4.809;0;NULL;NULL;550.591
15.078;4.649;0;3.987;129;530.353
NULL;4.732;0;NULL;NULL;547.097
NULL;4.288;0;NULL;NULL;554.761
NULL;4.63;0;NULL;NULL;581.852
14.96;4.254;0;4.464;153;536.527
NULL;3.317;0;NULL;NULL;539.004
NULL;4.167;0;NULL;NULL;568.246
NULL;5.206;0;NULL;NULL;549.508
15.391;4.093;0;3.705;;528.865
NULL;3.54;0;NULL;NULL;529.25
NULL;4.493;0;NULL;NULL;524.188
15.165;4.204;0;4.845;161;578.691
15.333;4.455;0;4.662;151;552.008
NULL;4.339;0;NULL;NULL;531.504
14.929;4.52;0;5.221;236;548.734
NULL;4.186;0;4.333;204;554.6
NULL;4.5;0;4.651;;581.194
NULL;4.195;0;NULL;NULL;536.674
15.246;3.377;0;5.575;191;538.338
14.638;4.764;0;5.407;221;567.578
15.279;4.844;0;4.740;219;552.042
NULL;4.019;0;NULL;NULL;528.599
15.316;3.682;0;4.122;196;528.374
15.072;4.325;0;5.666;187;525.106
NULL;4.179;0;NULL;NULL;577.675
NULL;4.234;0;NULL;NULL;552.853
NULL;4.235;0;NULL;NULL;532.295
NULL;4.424;0;NULL;NULL;549.823
NULL;4.096;0;NULL;NULL;554.311
NULL;4.935;0;NULL;NULL;580.522
NULL;4.135;0;NULL;NULL;536.671
NULL;3.356;0;NULL;NULL;537.671
NULL;4.279;0;NULL;NULL;567.083
NULL;4.721;0;NULL;NULL;553.819
NULL;4.009;0;NULL;NULL;528.289
NULL;3.964;0;NULL;NULL;527.501
NULL;4.231;0;NULL;NULL;525.595
NULL;4.146;0;NULL;NULL;576.655
NULL;4.278;0;NULL;NULL;553.105
NULL;4.135;0;NULL;NULL;532.693
NULL;4.379;0;NULL;NULL;550.437
NULL;4.019;0;NULL;NULL;553.931
NULL;4.556;0;NULL;NULL;579.921
NULL;4.112;0;NULL;NULL;536.569
NULL;3.165;0;NULL;NULL;537.02
NULL;4.615;0;NULL;NULL;566.596
NULL;4.61;0;NULL;NULL;554.969
NULL;4.011;0;NULL;NULL;527.935
NULL;4.188;10.718;NULL;NULL;526.641
NULL;4.121;0;NULL;NULL;525.692
NULL;2.086;0;NULL;NULL;514.759
NULL;2.332;0;NULL;NULL;524.164
NULL;1.693;0;NULL;NULL;506.634
NULL;1.73;0;NULL;NULL;507.761
NULL;1.914;0;NULL;NULL;504.373
NULL;2.636;0;NULL;NULL;516.682
NULL;2.953;0;NULL;NULL;507.236
NULL;1.732;0;NULL;NULL;505.201
NULL;2.598;0;NULL;NULL;530.584
NULL;2.117;0;NULL;NULL;508.478
NULL;1.583;0;NULL;NULL;501.935
NULL;1.588;0;NULL;NULL;498.152
NULL;1.295;0;NULL;NULL;495.425
NULL;2.497;0;NULL;NULL;512.753
NULL;2.405;0;NULL;NULL;521.265
NULL;1.638;0;NULL;NULL;505.35
NULL;1.624;0;NULL;NULL;505.849
NULL;2.086;0;NULL;NULL;503.127
NULL;3.638;0;NULL;NULL;514.25
NULL;2.046;0;NULL;NULL;505.952
NULL;1.654;0;NULL;NULL;503.565
NULL;2.862;0;NULL;NULL;525.435
NULL;2.096;0;NULL;NULL;506.734
NULL;1.832;0;NULL;NULL;500.343
NULL;1.763;0;NULL;NULL;497.393
NULL;1.092;0;NULL;NULL;494.222
NULL;2.157;0;NULL;NULL;512.549
NULL;2.454;0;NULL;NULL;520.969
NULL;1.578;0;NULL;NULL;505.216
NULL;1.526;0;NULL;NULL;505.653
NULL;2.027;0;NULL;NULL;502.994
NULL;3.276;0;NULL;NULL;514.014
NULL;1.915;0;NULL;NULL;505.82
NULL;1.648;0;NULL;NULL;503.389
NULL;2.869;0;NULL;NULL;524.916
NULL;2.193;0;NULL;NULL;506.554
NULL;1.989;0;NULL;NULL;500.176
NULL;1.765;0;NULL;NULL;497.313
NULL;1.266;0;NULL;NULL;494.103
NULL;1.953;0;NULL;NULL;512.348
NULL;2.504;0;NULL;NULL;520.679
15.541;1.546;0;3.573;104;505.086
NULL;1.453;0;NULL;NULL;505.46
NULL;1.988;0;NULL;NULL;502.861
NULL;3.134;1.113;NULL;NULL;513.778
15.462;1.883;0;3.395;91;505.689
NULL;1.669;0;NULL;NULL;503.213
NULL;2.766;0;NULL;NULL;524.408
NULL;2.19;0;NULL;NULL;506.377
15.623;1.933;0;4.186;129;500.009
NULL;1.739;0;NULL;NULL;497.234
NULL;1.473;0;NULL;NULL;493.983
15.713;1.965;0;3.046;147;512.148
15.513;2.53;0;2.763;105;520.394
NULL;1.581;0;NULL;NULL;504.956
15.752;1.416;0;4.451;128;505.27
NULL;1.942;0;4.474;166;502.73
NULL;3.755;0;4.288;198;513.542
NULL;2.008;0;NULL;NULL;505.56
15.37;1.798;0;4.045;127;503.041
15.501;2.688;0;4.231;179;523.909
15.648;2.085;0;4.836;117;506.203
NULL;1.879;0;NULL;NULL;499.844
15.653;1.63;0;3.523;133;497.161
15.625;1.391;0;4.289;113;493.866
NULL;2.05;0;NULL;NULL;511.951
NULL;2.407;0;NULL;NULL;520.116
NULL;1.62;0;NULL;NULL;504.826
NULL;1.409;0;NULL;NULL;505.081
NULL;1.907;0;NULL;NULL;502.604
NULL;3.893;0;NULL;NULL;513.362
NULL;2.157;0;NULL;NULL;505.432
NULL;1.942;0;NULL;NULL;502.87
NULL;2.647;0;NULL;NULL;523.418
NULL;1.951;0;NULL;NULL;506.033
NULL;1.838;0;NULL;NULL;499.682
NULL;1.457;0;NULL;NULL;497.09
NULL;1.453;0;NULL;NULL;493.756
NULL;3.221;0;NULL;NULL;511.757
NULL;2.268;0;NULL;NULL;519.842
NULL;1.663;0;NULL;NULL;504.696
NULL;1.405;0;NULL;NULL;504.895
NULL;1.865;0;NULL;NULL;502.479
NULL;3.427;0;NULL;NULL;513.207
NULL;2.155;0;NULL;NULL;505.305
NULL;1.93;0;NULL;NULL;502.699
NULL;2.499;0;NULL;NULL;522.934
NULL;1.854;0;NULL;NULL;505.865
NULL;1.808;0;NULL;NULL;499.521
NULL;1.351;0;NULL;NULL;497.018
NULL;1.576;0;NULL;NULL;493.653
NULL;5.119;1.371;NULL;NULL;511.479
NULL;2.194;0;NULL;NULL;519.573
NULL;1.673;0;NULL;NULL;504.567
NULL;1.419;0;NULL;NULL;504.71
NULL;1.828;0;NULL;NULL;502.353
NULL;3.183;0;NULL;NULL;513.019
NULL;2.217;0;NULL;NULL;505.18
NULL;2.046;0;NULL;NULL;502.535
NULL;2.531;1.351;NULL;NULL;522.458
NULL;1.759;0;NULL;NULL;505.7
NULL;1.785;0;NULL;NULL;499.37
NULL;1.294;0;NULL;NULL;496.95
NULL;1.572;0;NULL;NULL;493.546
NULL;4.108;0;NULL;NULL;511.656
NULL;2.267;0;NULL;NULL;519.306
NULL;1.722;0;NULL;NULL;504.439
NULL;1.485;0;NULL;NULL;504.525
NULL;1.781;0;NULL;NULL;502.228
NULL;2.949;0;NULL;NULL;512.81
NULL;2.209;0;NULL;NULL;505.057
NULL;2.171;0;NULL;NULL;502.371
NULL;2.574;0;NULL;NULL;521.991
NULL;1.699;0;NULL;NULL;505.536
NULL;1.759;0;NULL;NULL;499.217
NULL;1.267;0;NULL;NULL;496.879
NULL;1.521;0;NULL;NULL;493.445
NULL;3.964;0;NULL;NULL;511.98
NULL;2.359;0;NULL;NULL;519.043
NULL;2.159;0;NULL;NULL;504.313
NULL;1.621;0;NULL;NULL;504.342
NULL;1.8;0;NULL;NULL;502.107
NULL;3.064;0;NULL;NULL;512.591
NULL;2.142;0;NULL;NULL;504.935
NULL;2.012;0;NULL;NULL;502.208
NULL;2.478;0.447;NULL;NULL;521.533
NULL;1.674;0;NULL;NULL;505.375
NULL;1.735;0;NULL;NULL;499.066
NULL;1.28;0;NULL;NULL;496.812
NULL;1.46;0;NULL;NULL;493.341
NULL;3.889;0;NULL;NULL;512.122
NULL;2.528;0;NULL;NULL;518.784
NULL;2.268;1.104;NULL;NULL;504.187
NULL;1.786;0;NULL;NULL;504.161
NULL;1.881;0;NULL;NULL;501.986
NULL;2.83;0;NULL;NULL;512.371
NULL;2.073;0;NULL;NULL;504.814
NULL;1.963;0;NULL;NULL;502.048
NULL;2.372;0;NULL;NULL;521.082
NULL;1.685;0;NULL;NULL;505.215
NULL;1.722;0;NULL;NULL;498.915
NULL;1.309;0;NULL;NULL;496.745
NULL;1.36;0;NULL;NULL;493.239
NULL;2.161;0;NULL;NULL;514.521
NULL;2.511;0;NULL;NULL;523.819
NULL;1.617;0;NULL;NULL;506.483
NULL;1.835;0;NULL;NULL;507.536
NULL;1.963;0;NULL;NULL;504.232
NULL;2.596;0;NULL;NULL;516.389
NULL;2.788;0;NULL;NULL;507.085
NULL;1.774;0;NULL;NULL;505.016
NULL;2.343;0;NULL;NULL;529.971
NULL;2.136;0;NULL;NULL;508.275
NULL;1.568;0;NULL;NULL;501.751
NULL;1.633;0;NULL;NULL;498.064
NULL;1.228;0;NULL;NULL;495.279
NULL;3.723;0;NULL;NULL;512.142
NULL;2.688;0;NULL;NULL;518.53
15.609;1.914;0;NULL;84;504.062
NULL;1.833;0;NULL;NULL;503.981
NULL;1.899;0;NULL;NULL;501.865
NULL;2.634;0;NULL;NULL;512.152
15.662;2.131;0;NULL;79;504.692
NULL;2.198;0;NULL;NULL;501.888
NULL;2.32;0;NULL;NULL;520.638
NULL;1.729;0;NULL;NULL;505.057
15.652;1.695;0;NULL;102;498.766
NULL;1.351;0;NULL;NULL;496.678
NULL;1.301;0;NULL;NULL;493.139
15.713;3.472;0;NULL;88;512.092
15.449;2.607;0;NULL;123;518.282
NULL;1.725;0;NULL;NULL;503.937
15.536;1.827;0;NULL;164;503.801
NULL;1.906;0;NULL;124;501.744
NULL;2.74;0;NULL;187;511.934
NULL;2.443;0;NULL;NULL;504.571
15.59;2.203;0;NULL;109;501.729
15.451;2.315;0;NULL;167;520.202
15.595;1.776;0;NULL;141;504.901
NULL;1.671;0;NULL;NULL;498.62
15.388;1.4;0;NULL;222;496.613
15.624;1.295;0;NULL;150;493.059
NULL;3.19;0;NULL;NULL;511.986
NULL;2.562;0;NULL;NULL;518.039
NULL;1.833;1.285;NULL;NULL;503.813
NULL;1.899;0;NULL;NULL;503.625
